53405;1;152;Adaptador MHL MicroUSB a HDMI Samsung Galaxy S3/S4;9.71;13.0;Si;11;0.3
54846;1;152;Funda Polipiel Negra Carcasa y Soporte Galaxy S3 Mini;6.4;9.0;Si;20;0.3
51958;1;152;Batería para Samsung Galaxy Y;5.74;8.0;Si;39;0.2
50287;1;152;Funda+Batería Negra para Samsung Galaxy S2;13.84;18.0;Si;18;0.4
46974;1;152;Batería para Samsung Galaxy S I9000;5.58;8.0;Si;53;0.2
58823;1;192;Samsung Funda View Cover para Galaxy S4 Mini Negro;22.31;29.0;Si;36;0.2
54813;1;152;Funda Polipiel Roja con Carcasa y Soporte Galaxy Note 2;3.31;5.0;Si;38;0.1
51112;1;152;Funda Silicona Blanca Samsung Galaxy S3;2.07;3.0;Si;3;0.2
54350;1;152;Carcasa + Batería para Samsung Galaxy Note 2 Negra;25.62;33.0;Si;19;0.2
54646;1;152;Funda TPU Rosa para LG Optimus L5;1.61;2.0;Si;8;0.2
54463;1;192;Samsung Funda Blanca para Galaxy S3 Mini;10.95;14.0;Si;22;0.3
52490;1;152;Protector Pantalla Samsung Galaxy Ace;1.03;1.0;Si;27;0.1
55156;1;152;Funda Polipiel Blanca para LG Optimus L7;3.51;5.0;Si;19;0.2
59373;1;152;Protector de Pantalla Sony Xperia V;1.61;2.0;Si;6;0.1
52582;1;152;Protector Pantalla Sony Xperia S;1.61;2.0;Si;6;0.1
52889;1;152;Protector Pantalla Samsung Galaxy Note 2;1.61;2.0;Si;24;0.1
52256;1;192;Samsung Flip Cover Galaxy S3 Blanco;17.36;23.0;Si;21;0.1
54314;1;236;Unotec Soporte de Bicicleta para Galaxy S3;5.58;8.0;Si;16;0.5
54811;1;152;Funda Polipiel Blanca Samsung Galaxy S3 Mini;3.1;4.0;Si;63;0.3
55879;1;31;Bq Funda protectora Aquaris 4.5 Blanca;5.74;8.0;Si;30;0.2
57280;1;5;Protector de Pantalla para Airis TM400;4.92;7.0;Si;50;0.1
54844;1;152;Protector Pantalla Samsung Galaxy Mini 2;1.03;1.0;Si;6;0.1
54847;1;152;Funda Polipiel Blanca Carcasa y Soporte Galaxy S3 Mini;6.4;9.0;Si;4;0.3
56944;1;192;Samsung Flip Cover Galaxy Note 2 Gris;17.36;23.0;Si;39;0.3
56925;1;192;Samsung Funda Flip Cover para Galaxy S4 Blanco;15.5;20.0;Si;32;0.2
56963;1;152;Funda Rígida Graffiti Samsung Galaxy S3 Mini;2.48;3.0;Si;25;0.2
56978;1;152;Funda Polipiel Negra para LG Optimus L9;4.09;6.0;Si;27;0.2
56976;1;152;Funda Silicona Transparente para LG Optimus L9;2.44;3.0;Si;17;0.2
56924;1;192;Samsung Flip Cover Galaxy Note 2 Azul Claro;15.91;21.0;Si;33;0.3
57643;1;152;Funda Rígida Negra para Sony Xperia U;3.72;5.0;Si;42;0.2
57638;1;152;Funda Rígida Roja para Xperia S;2.48;3.0;Si;16;0.2
57953;1;152;Funda Polipiel Negra Sony Xperia L;3.51;5.0;Si;1;0.1
57954;1;152;Funda Silicona Transparente Sony Xperia L;2.44;3.0;Si;9;0.2
58002;1;152;Protector Pantalla Sony Xperia SP;1.61;2.0;Si;2;0.1
57636;1;152;Funda Rígida Blanca para Xperia S;2.48;3.0;Si;42;0.2
57372;1;152;Dock + Cargador de Batería para Galaxy Note2;10.7;14.0;Si;53;0.4
57368;1;152;Funda Flip + Batería para Samsung Galaxy S4 Negra;19.83;26.0;Si;8;0.3
54734;1;152;Funda Polipiel Roja Sony Xperia U;1.65;2.0;Si;32;0.2
54735;1;152;Funda Polipiel Azul Sony Xperia U;3.1;4.0;Si;74;0.2
51885;1;181;QooPro Carcasa+Bateria Samsung Galaxy S3 Blanca;19.79;26.0;Si;3;0.3
55969;1;152;Funda Silicona Azul Sony Xperia Z;3.26;5.0;Si;60;0.2
56005;1;152;Kit Batería + Cargador para Samsung Galaxy S3;11.78;15.0;Si;37;0.4
58091;1;192;Samsung Funda Flip Cover para Galaxy S4 Rosa;15.5;20.0;Si;40;0.5
55606;1;152;Funda Silicona Rosa Google Nexus 4;2.44;3.0;Si;30;0.2
55614;1;192;Samsung Batería Original para Galaxy Note 2;17.36;23.0;Si;19;0.2
55714;1;192;Samsung Flip Cover Galaxy Note 2 Lima;17.36;23.0;Si;38;0.3
55713;1;192;Samsung Flip Cover Galaxy Note 2 Verde;17.36;23.0;Si;31;0.3
56563;1;152;Funda Silicona Violeta Samsung Galaxy S4;1.65;2.0;Si;33;0.2
56562;1;152;Funda Silicona Rosa Samsung Galaxy S4;2.44;3.0;Si;1;0.2
56561;1;152;Funda Silicona Transparente Samsung Galaxy S4;2.44;3.0;Si;9;0.2
56564;1;152;Funda Silicona Azul Samsung Galaxy S4;2.44;3.0;Si;27;0.2
56862;1;152;Batería Alta Capacidad 4300mA + Tapa Gris para Galaxy S3;10.54;14.0;Si;21;0.4
56788;1;152;Funda Polipiel Negra Sony Xperia T;3.51;5.0;Si;23;0.2
56787;1;152;Funda Polipiel Azul Sony Xperia T;3.51;5.0;Si;10;0.2
55133;1;192;Samsung Flip Cover Galaxy S3 Amarillo;17.36;23.0;Si;19;0.1
56059;1;152;Funda Silicona Negra Sony Xperia J;2.44;3.0;Si;7;0.2
56055;1;152;Protector Pantalla Sony Xperia J;1.61;2.0;Si;54;0.1
56184;1;152;Cargador de Red/Batería para Galaxy Ace 2/S3 Mini;5.17;7.0;Si;14;0.1
56185;1;152;Batería para Samsung Galaxy S3 Mini;6.57;9.0;Si;3;0.2
56195;1;152;Dock + Cargador de Batería para Galaxy S3;10.7;14.0;Si;11;0.4
58030;1;152;Funda Flip Cover Rosa Samsung Galaxy Mini 2;6.57;9.0;Si;41;0.2
58676;1;31;Bq Funda protectora Aquaris 4.5 Verde;5.74;8.0;Si;52;0.2
58685;1;152;Funda W-Flip para Samsung Galaxy S4 Azul;7.23;10.0;Si;21;0.3
56132;1;192;Samsung Flip Cover Galaxy S3 Granate;15.66;20.0;Si;50;0.3
58314;1;152;Funda Silicona Transparente Samsung Galaxy Ace 2;1.86;3.0;Si;21;0.2
59450;1;152;Protector Pantalla Samsung Galaxy Mega Pack 2 Unidades;3.93;6.0;Si;4;0.1
58832;1;152;Funda Rígida Poncho Samsung Galaxy S3 Mini;4.09;6.0;Si;75;0.2
59231;1;152;Funda TPU Roja Samsung Galaxy S4;2.27;3.0;Si;42;0.2
57940;1;192;Samsung Adaptador MHL/HDMI para Galaxy S4;28.1;37.0;Si;5;0.3
58707;1;31;Bq Funda Protectora Aquaris 5 Blanca;5.74;8.0;Si;31;0.2
58711;1;31;Bq Funda Protectora Aquaris 5 Negra;5.74;8.0;Si;10;0.2
58773;1;152;Protector Pantalla Nokia Lumia 520;1.61;2.0;Si;7;0.1
58775;1;152;Funda Silicona Azul Nokia Lumia 520;2.44;3.0;Si;39;0.2
54252;1;152;Batería para Samsung Galaxy Note 2;6.4;9.0;Si;3;0.2
58206;1;152;Pack Full Accesorios básico para Galaxy S4;14.01;18.0;Si;33;0.5
58203;1;152;Pack Full Accesorios Premium para Galaxy S3;23.93;31.0;Si;15;0.5
58132;1;152;Funda Silicona Negra para Sony Xperia U;1.86;3.0;Si;32;0.2
54585;1;152;Funda Silicona Rosa Sony Xperia Tipo;1.03;1.0;Si;53;0.2
54644;1;152;Funda TPU Negra  para LG Optimus L5;1.61;2.0;Si;2;0.2
58115;1;192;Samsung Funda View Cover para Galaxy S4 Púrpura;23.14;30.0;Si;7;0.5
58220;1;152;Funda Polipiel Azul para LG Optimus G;3.51;5.0;Si;27;0.2
54647;1;152;Funda TPU Azul para LG Optimus L5;1.61;2.0;Si;33;0.2
59323;1;104;Funda Silicona Jiayu G4 Verde;4.92;7.0;Si;36;0.1
59397;1;152;Carcasa Rigida Azul Para Samsung Galaxy Mini 2;3.72;5.0;Si;19;0.01
59353;1;152;Funda Silicona Azul para Sony Xperia E;1.98;3.0;Si;26;0.2
59374;1;152;Funda Polipiel Negra Sony Xperia V;3.51;5.0;Si;19;0.2
59506;1;152;Funda TPU para Samsung Galaxy Mega Negra;2.44;3.0;Si;18;1.0
58143;1;152;Soporte de bici para Samsung Galaxy S4;8.22;11.0;Si;77;1.0
51079;2;227;TP-Link TL-MC1400 Base Expansión Rack 14 Bahías;74.34;93.0;Si;53;1.0
55894;3;114;Leotec MP3 SD/USB Player FM Transmitter;9.05;12.0;Si;30;0.4
55265;3;152;Cable USB ELM 327 Diagnóstico VAG-COM;18.97;25.0;Si;26;0.4
46186;3;152;Transmisor FM / Manos Libres Bluetooth Rojo;16.49;21.0;Si;53;0.4
45783;3;152;Transmisor FM / Manos Libres Bluetooth Gris;16.49;21.0;Si;95;0.4
51560;3;236;Unotec 4Free Manos Libres Para Coche;16.49;21.0;Si;6;0.2
47860;4;14;Arctic Cooling PST Cable;5.58;8.0;Si;15;0.2
36087;4;42;Cooltek Tornillos Antivibraciones;3.26;5.0;Si;14;0.2
30191;5;38;Conceptronic Adaptador HD IDE/SATA 2.5/3.5 USB;15.66;20.0;Si;26;1.0
52391;5;134;Adaptador Bahía de 2.5 a 3.5;3.51;5.0;Si;12;0.2
