33;55552;8
15;53405;2
80;53573;3
68;48558;10
31;48548;4
92;54846;5
8;53569;6
35;50635;0
4;46462;5
15;56922;2
87;48668;0
83;51040;1
36;51252;5
8;51510;7
54;51756;3
45;58250;11
77;48845;5
56;51044;8
18;48622;2
50;54579;4
92;52002;8
76;46901;4
31;51958;4
51;58519;8
66;58520;16
28;50454;0
50;50287;13
4;48848;8
56;53488;7
39;48847;4
80;55968;11
59;51509;9
24;56448;5
14;52581;13
5;58821;13
39;50634;12
84;46974;8
23;53685;14
11;58719;7
46;50922;3
18;50887;13
66;50686;4
88;58823;9
54;48351;0
18;50934;6
46;54739;4
60;53683;11
5;51041;5
65;50522;5
20;54815;10
7;51508;6
95;54716;9
77;51484;10
2;46903;11
61;51535;11
65;51332;9
56;54588;11
85;54813;5
62;53570;1
58;51112;19
29;51111;4
83;56964;1
20;50839;8
93;59322;3
91;51578;5
37;58124;10
6;52588;9
27;52913;5
84;52893;17
94;53188;25
2;54350;0
31;54646;17
82;52892;1
3;54641;20
35;54463;4
55;52520;10
32;52592;16
36;52583;2
73;52580;10
72;50935;8
61;51436;8
34;52521;8
61;52490;10
19;57288;2
15;52488;3
93;52487;4
49;53500;0
95;52489;2
23;55156;9
84;59373;2
22;52582;11
68;55966;4
22;54822;0
71;53682;7
88;54639;0
67;52889;5
15;53571;0
88;52256;10
42;55135;10
16;54314;9
88;52182;11
64;51069;1
36;54811;9
25;57245;10
28;57190;7
15;57184;8
74;57126;9
53;55879;4
62;57115;6
48;57113;7
81;57018;20
88;57240;9
91;57243;6
61;54852;2
35;54812;9
63;54814;10
66;57366;5
79;57285;2
73;57280;10
84;54845;7
6;54844;8
79;54847;7
9;59319;5
8;59318;6
44;56982;3
1;56944;0
52;56939;4
84;51024;7
63;56935;1
52;56930;7
93;56927;11
50;56925;1
36;56961;8
34;56962;10
53;56963;2
15;56993;6
16;56978;2
74;56977;1
72;56976;9
19;56975;6
28;56974;7
21;56968;7
34;56966;10
71;56924;6
37;58029;11
82;57777;13
44;57776;4
6;57676;0
75;57674;1
24;57643;4
60;57640;11
13;57639;8
80;57638;5
81;57950;4
86;57953;8
1;57954;4
52;58028;10
56;58009;10
70;58006;2
45;58005;20
93;58004;11
87;58002;7
41;57956;0
72;57955;3
20;57637;6
54;57636;23
17;57402;3
41;57399;9
76;57374;8
96;57372;5
59;57371;11
64;57370;10
88;56969;1
54;57368;7
45;58229;7
79;58135;11
68;56937;11
26;54731;10
27;54732;6
24;54733;7
70;54734;6
19;54735;6
47;54736;1
49;57287;8
34;55554;3
57;54809;11
3;56044;10
94;55967;5
26;58341;0
33;51885;12
84;55880;7
51;56495;3
73;55851;6
71;55310;0
69;55848;6
74;55970;11
19;55971;7
84;55985;0
6;56040;4
16;56030;4
31;56029;4
91;56028;3
35;55969;8
91;56005;1
81;58091;4
95;55986;3
95;59385;8
15;59395;8
49;55606;7
32;55605;0
91;55604;0
61;57242;11
86;57244;1
58;55603;9
87;55573;10
95;55617;9
19;55607;1
48;55614;19
1;55615;2
25;55714;2
83;55713;10
16;55712;6
43;55711;10
10;55645;3
88;55619;11
77;55618;4
70;55616;0
77;55556;8
22;56923;10
11;56563;15
51;56562;5
32;56561;11
90;56560;6
85;56559;5
64;56547;3
27;59303;1
2;56529;11
7;56564;6
32;56718;11
16;56781;1
91;56863;19
4;56862;2
40;56788;4
24;56787;16
71;56786;3
82;56785;5
71;56783;0
31;56782;9
82;56528;14
12;55133;11
54;56948;10
37;56064;11
52;56063;5
50;56061;4
18;56059;9
5;56058;1
79;56057;1
55;56055;6
4;56184;13
55;56185;6
87;56186;4
53;55136;1
84;55137;3
58;56449;5
50;55154;6
86;55155;17
7;55157;6
63;57286;0
4;56195;3
8;56045;1
84;58030;7
53;58221;11
94;54465;7
40;54464;4
1;57067;5
38;58010;5
36;58676;0
65;58679;5
13;58685;1
71;58686;0
68;58687;10
33;58688;5
95;58698;8
61;58699;5
