56063;1;152;Funda Polipiel Negra Sony Xperia J;3.51;5.0;Si;5;0.2
56055;1;152;Protector Pantalla Sony Xperia J;1.61;2.0;Si;6;0.1
56184;1;152;Cargador de Red/Batería para Galaxy Ace 2/S3 Mini;5.17;7.0;Si;13;0.1
56186;1;152;Samsung Batería Original para Galaxy S3 Mini;15.66;20.0;Si;4;0.2
55137;1;192;Samsung Flip Cover Galaxy S3 Rosa;16.49;21.0;Si;3;0.1
55155;1;152;Funda Polipiel Rosa para LG Optimus L7;3.51;5.0;Si;17;0.2
55157;1;152;Funda Polipiel Negra para LG Optimus L7;3.51;5.0;Si;6;0.2
58685;1;152;Funda W-Flip para Samsung Galaxy S4 Azul;7.23;10.0;Si;1;0.3
58688;1;152;Funda W-Flip para Samsung Galaxy S4 Blanca;7.23;10.0;Si;5;0.3
58698;1;152;Protector Pantalla Huawei G510 Daytona;1.61;2.0;Si;8;0.1
58703;1;152;Funda Flip Para Huawei G510 Daytona Negro;6.57;9.0;Si;7;0.3
58224;1;152;Funda Silicona Azul para LG Optimus G;2.44;3.0;Si;9;0.2
56132;1;192;Samsung Flip Cover Galaxy S3 Granate;15.66;20.0;Si;4;0.3
54810;1;152;Funda Polipiel Negra Samsung Galaxy S3 Mini;3.51;5.0;Si;2;0.3
59116;1;152;Funda Polipiel Negra Samsung Galaxy S4 Mini;3.93;6.0;Si;15;0.2
59117;1;152;Funda Polipiel Blanca Samsung Galaxy S4 Mini;3.93;6.0;Si;8;0.2
51376;1;192;Samsung Adaptador MHL/HDMI para Galaxy S3;20.66;27.0;Si;13;0.3
59229;1;152;Funda TPU Azul Samsung Galaxy S4;2.27;3.0;Si;9;0.2
58829;1;152;Funda Rígida Poncho Samsung Galaxy Ace 2;4.09;6.0;Si;15;0.2
58813;1;152;Protector Pantalla LG Optimus L7 II;1.61;2.0;Si;15;0.1
54252;1;152;Batería para Samsung Galaxy Note 2;6.4;9.0;Si;12;0.2
58178;1;152;Funda Silicona Transparente para Sony Xperia U;1.86;3.0;Si;10;0.2
58179;1;152;Funda Silicona Azul para Sony Xperia Tipo;1.86;3.0;Si;9;0.2
58197;1;152;Pack Full Accesorios Premium para Galaxy S2;23.93;31.0;Si;2;0.5
58132;1;152;Funda Silicona Negra para Sony Xperia U;1.86;3.0;Si;18;0.2
54644;1;152;Funda TPU Negra  para LG Optimus L5;1.61;2.0;Si;4;0.2
54582;1;152;Funda Polipiel Azul Sony Xperia Tipo;3.51;5.0;Si;11;0.2
58115;1;192;Samsung Funda View Cover para Galaxy S4 Púrpura;23.14;30.0;Si;9;0.5
59326;1;104;Funda Polipiel Jiayu G4 Azul;8.22;11.0;Si;13;0.1
59391;1;152;Protector Pantalla Huawei Y300;1.61;2.0;Si;18;0.01
59397;1;152;Carcasa Rigida Azul Para Samsung Galaxy Mini 2;3.72;5.0;Si;14;0.01
59381;1;152;Funda Silicona Lila para Sony Xperia V;1.98;3.0;Si;6;0.2
59506;1;152;Funda TPU para Samsung Galaxy Mega Negra;2.44;3.0;Si;10;1.0
59282;1;95;I-Joy Pack 5 en 1 para Elektra XL;18.14;24.0;Si;11;0.5
