1;1;A;1
2;1;A;2
3;1;A;3
4;1;A;4
5;1;B;1
6;1;B;2
7;1;B;3
8;1;B;4
9;1;C;1
10;1;C;2
11;1;C;3
12;1;C;4
13;1;D;1
14;1;D;2
15;1;D;3
16;1;D;4
17;1;E;1
18;1;E;2
19;1;E;3
20;1;E;4
21;1;F;1
22;1;F;2
23;1;F;3
24;1;F;4
25;1;G;1
26;1;G;2
27;1;G;3
28;1;G;4
29;1;H;1
30;1;H;2
31;1;H;3
32;1;H;4
33;2;A;1
34;2;A;2
35;2;A;3
36;2;A;4
37;2;B;1
38;2;B;2
39;2;B;3
40;2;B;4
41;2;C;1
42;2;C;2
43;2;C;3
44;2;C;4
45;2;D;1
46;2;D;2
47;2;D;3
48;2;D;4
49;2;E;1
50;2;E;2
51;2;E;3
52;2;E;4
53;2;F;1
54;2;F;2
55;2;F;3
56;2;F;4
57;2;G;1
58;2;G;2
59;2;G;3
60;2;G;4
61;2;H;1
62;2;H;2
63;2;H;3
64;2;H;4
65;3;A;1
66;3;A;2
67;3;A;3
68;3;A;4
69;3;B;1
70;3;B;2
71;3;B;3
72;3;B;4
73;3;C;1
74;3;C;2
75;3;C;3
76;3;C;4
77;3;D;1
78;3;D;2
79;3;D;3
80;3;D;4
81;3;E;1
82;3;E;2
83;3;E;3
84;3;E;4
85;3;F;1
86;3;F;2
87;3;F;3
88;3;F;4
89;3;G;1
90;3;G;2
91;3;G;3
92;3;G;4
93;3;H;1
94;3;H;2
95;3;H;3
96;3;H;4
97;4;A;1
98;4;A;2
99;4;A;3
100;4;A;4
101;4;B;1
102;4;B;2
103;4;B;3
104;4;B;4
105;4;C;1
106;4;C;2
107;4;C;3
108;4;C;4
109;4;D;1
110;4;D;2
111;4;D;3
112;4;D;4
113;4;E;1
114;4;E;2
115;4;E;3
116;4;E;4
117;4;F;1
118;4;F;2
119;4;F;3
120;4;F;4
121;4;G;1
122;4;G;2
123;4;G;3
124;4;G;4
125;4;H;1
126;4;H;2
127;4;H;3
128;4;H;4
129;5;A;1
130;5;A;2
131;5;A;3
132;5;A;4
133;5;B;1
134;5;B;2
135;5;B;3
136;5;B;4
137;5;C;1
138;5;C;2
139;5;C;3
140;5;C;4
141;5;D;1
142;5;D;2
143;5;D;3
144;5;D;4
145;5;E;1
146;5;E;2
147;5;E;3
148;5;E;4
149;5;F;1
150;5;F;2
151;5;F;3
152;5;F;4
153;5;G;1
154;5;G;2
155;5;G;3
156;5;G;4
157;5;H;1
158;5;H;2
159;5;H;3
160;5;H;4
161;6;A;1
162;6;A;2
163;6;A;3
164;6;A;4
165;6;B;1
166;6;B;2
167;6;B;3
168;6;B;4
169;6;C;1
170;6;C;2
171;6;C;3
172;6;C;4
173;6;D;1
174;6;D;2
175;6;D;3
176;6;D;4
177;6;E;1
178;6;E;2
179;6;E;3
180;6;E;4
181;6;F;1
182;6;F;2
183;6;F;3
184;6;F;4
185;6;G;1
186;6;G;2
187;6;G;3
188;6;G;4
189;6;H;1
190;6;H;2
191;6;H;3
192;6;H;4
